Date,SO4
2006-05-22 12:00,53.61143266
2006-06-01 9:35,64.89585849
2006-06-08 12:25,66.76965614
2006-06-15 8:45,29.460263
2006-06-22 8:40,23.19345087
2006-06-28 8:08,22.00671236
2006-07-06 8:25,26.39972684
2006-07-13 8:03,23.83887006
2006-07-20 8:15,24.13034969
2006-07-27 8:05,23.94296993
2006-08-02 7:45,24.17198964
2006-08-10 7:50,26.17070713
2006-08-17 7:45,27.44072553
2006-08-24 13:00,25.35872815
2006-08-31 9:50,26.33726692
2006-09-07 10:15,33.1245784
2006-09-13 11:05,27.31580569
2006-09-28 11:34,26.87858624
2006-10-09 13:10,29.48108297
2006-10-30 14:30,31.6880002
2006-12-07 13:25,31.87537996
2006-12-27 11:30,40.22418948
2007-01-26 13:45,35.37313557
2007-02-23 10:00,34.01983727
2007-04-06 12:00,38.62105149
2007-05-10 8:20,37.64251272
2007-05-18 9:50,36.55987408
2007-06-01 12:05,43.22226571
2007-06-08 8:10,56.73442874
2007-06-14 9:00,73.8068073
2007-06-21 8:50,49.15595826
2007-06-27 8:20,45.67902263
2007-07-05 8:40,32.25013949
2007-07-12 9:05,29.41862305
2007-07-19 8:15,24.65084904
2007-07-26 8:10,23.15181092
2007-08-02 8:25,23.40165061
2007-08-09 8:45,23.21427084
2007-08-16 8:25,23.23509082
2007-08-29 9:20,23.31837071
2007-09-05 10:05,23.69313024
2007-09-19 9:30,24.8382288
2007-10-03 10:10,25.27544825
2007-10-24 9:30,26.92022619
2007-11-07 12:50,27.2325258
2007-12-05 13:20,29.35616313
2008-01-21 13:30,32.87473871
2008-03-11 13:30,31.79210007
2008-05-29 13:10,38.89171115
2008-06-03 10:25,40.41156924
2008-06-17 10:00,54.75653123
2008-06-24 8:50,69.49707271
2008-07-01 9:50,55.38113044
2008-07-08 9:15,30.43880177
2008-07-17 8:40,22.65213155
2008-07-24 9:15,21.38211314
2008-07-29 8:40,21.50703299
2008-08-07 13:15,23.1726309
2008-08-14 9:55,23.5682104
2008-08-19 11:45,41.74404757
2008-08-28 9:15,24.87986875
2008-09-04 14:50,24.29690948
2008-09-18 9:50,23.73477019
2008-10-02 10:05,25.02560857
2008-11-18 14:20,27.89876496
2008-12-22 14:45,31.08422096
2009-01-20 13:50,31.2091408
2009-02-10 14:00,35.24821573
2009-03-12 13:45,32.14603962
2009-04-21 15:30,39.53713034
2009-05-19 14:00,38.18383204
2009-05-27 11:15,39.53713034
2009-06-04 10:45,46.26198189
2009-06-12 9:50,57.83788736
2009-06-17 8:55,56.2139294
2009-06-25 9:40,50.80073619
2009-06-30 13:10,45.94968229
2009-07-09 9:10,27.6281053
2009-07-15 10:20,25.25462828
2009-07-23 10:00,25.81676757
2009-07-31 8:20,25.46282802
2009-08-06 13:25,25.62938781
2009-08-12 8:30,25.08806849
2009-08-28 11:50,27.50318546
2009-09-01 9:45,27.31580569
2009-09-11 9:20,29.12714342
2009-09-22 9:22,29.27288323
2009-09-30 7:50,29.52272292
2009-11-19 12:00,30.89684119
2009-12-17 13:30,32.49997918
2010-01-21 12:35,38.24629196
2010-02-25 14:30,35.53969536
2010-03-16 11:50,38.76679131
2010-04-27 14:10,41.51502786
2010-06-03 11:20,34.18639706
2010-06-09 12:00,15.78154018
2010-06-17 9:50,13.532983
2010-06-22 8:30,19.05027607
2010-06-29 9:15,23.19345087
2010-07-06 9:40,19.82061511
2010-07-13 10:45,19.38339565
2010-07-19 8:45,20.19537463
2010-07-27 8:45,25.17134838
2010-08-03 8:40,24.79658886
2010-08-10 11:20,22.79787137
2010-08-17 11:10,22.29819199
2010-08-24 9:50,23.4849305
2010-09-01 13:00,22.86033129
2010-09-07 11:00,24.33854943
2010-09-15 10:50,24.96314865
2010-10-05 12:55,26.64956653
2011-02-14 13:00,31.52144041
2011-03-18 12:30,32.99965855
2011-06-13 12:00,68.10213446
2011-06-20 12:00,23.27673076
2011-07-06 10:00,15.92728
2011-07-11 10:55,13.72036277
2011-07-18 12:00,13.72036277
2011-07-25 12:00,17.92599748
2011-08-01 10:00,20.59095414
2011-08-11 11:30,18.86289631
2011-08-17 12:00,19.27929579
